"movie_id";"genre_id"
1;1
2;1
3;1
4;1
5;1
10;1
11;1
12;1
13;1
14;1
15;1
17;1
18;1
19;1
22;1
24;1
25;1
27;1
29;1
30;1
31;1
35;1
39;1
40;1
41;1
43;1
45;1
49;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
71;1
74;1
75;1
76;1
77;1
79;1
82;1
83;1
84;1
85;1
86;1
87;1
89;1
90;1
92;1
98;1
100;1
101;1
107;1
108;1
109;1
110;1
111;1
113;1
116;1
117;1
122;1
123;1
125;1
126;1
129;1
130;1
131;1
134;1
135;1
136;1
138;1
140;1
141;1
142;1
144;1
146;1
148;1
149;1
151;1
153;1
155;1
165;1
166;1
167;1
168;1
169;1
170;1
171;1
174;1
176;1
177;1
179;1
180;1
182;1
183;1
185;1
186;1
187;1
188;1
189;1
191;1
192;1
193;1
195;1
197;1
198;1
200;1
201;1
204;1
205;1
208;1
210;1
211;1
212;1
213;1
214;1
216;1
218;1
219;1
220;1
222;1
223;1
225;1
227;1
228;1
231;1
235;1
236;1
239;1
241;1
245;1
247;1
249;1
250;1
251;1
255;1
256;1
257;1
259;1
261;1
264;1
265;1
267;1
268;1
269;1
271;1
272;1
277;1
279;1
280;1
281;1
283;1
284;1
285;1
286;1
288;1
289;1
291;1
292;1
294;1
296;1
299;1
301;1
307;1
312;1
314;1
316;1
319;1
322;1
323;1
325;1
326;1
331;1
334;1
336;1
337;1
338;1
339;1
341;1
345;1
348;1
351;1
353;1
354;1
360;1
362;1
364;1
371;1
373;1
374;1
376;1
385;1
387;1
390;1
392;1
394;1
399;1
402;1
403;1
406;1
407;1
408;1
416;1
427;1
430;1
431;1
432;1
433;1
440;1
443;1
446;1
447;1
453;1
454;1
456;1
457;1
460;1
461;1
462;1
465;1
466;1
467;1
468;1
471;1
473;1
475;1
477;1
483;1
487;1
491;1
494;1
496;1
498;1
501;1
504;1
506;1
508;1
513;1
517;1
518;1
523;1
527;1
529;1
530;1
533;1
536;1
538;1
540;1
542;1
543;1
547;1
550;1
554;1
557;1
558;1
563;1
565;1
568;1
572;1
573;1
575;1
576;1
579;1
580;1
584;1
585;1
589;1
592;1
596;1
601;1
604;1
605;1
606;1
608;1
609;1
611;1
612;1
617;1
621;1
624;1
625;1
633;1
639;1
640;1
644;1
646;1
649;1
656;1
659;1
664;1
672;1
679;1
680;1
682;1
686;1
687;1
692;1
694;1
695;1
697;1
699;1
701;1
702;1
703;1
705;1
706;1
716;1
718;1
720;1
722;1
723;1
724;1
725;1
726;1
728;1
731;1
736;1
740;1
749;1
751;1
752;1
754;1
755;1
758;1
762;1
763;1
767;1
769;1
770;1
772;1
775;1
777;1
780;1
783;1
787;1
788;1
793;1
797;1
798;1
800;1
807;1
809;1
817;1
819;1
825;1
829;1
831;1
832;1
836;1
837;1
838;1
841;1
842;1
843;1
848;1
851;1
853;1
854;1
855;1
858;1
859;1
860;1
862;1
871;1
875;1
877;1
885;1
896;1
897;1
898;1
899;1
900;1
905;1
906;1
911;1
912;1
914;1
916;1
920;1
921;1
922;1
925;1
928;1
929;1
930;1
932;1
939;1
943;1
949;1
951;1
959;1
961;1
967;1
969;1
974;1
975;1
979;1
981;1
983;1
987;1
999;1
1000;1
1006;1
1010;1
1011;1
1012;1
1015;1
1017;1
1018;1
1021;1
1023;1
1026;1
1034;1
1038;1
1043;1
1044;1
1046;1
1048;1
1050;1
1;2
2;2
3;2
5;2
6;2
8;2
11;2
19;2
29;2
30;2
31;2
33;2
34;2
40;2
42;2
48;2
52;2
53;2
54;2
55;2
60;2
62;2
69;2
75;2
82;2
87;2
92;2
93;2
95;2
100;2
102;2
104;2
105;2
107;2
108;2
109;2
110;2
111;2
113;2
115;2
116;2
118;2
122;2
123;2
126;2
130;2
131;2
132;2
134;2
135;2
137;2
140;2
142;2
144;2
149;2
150;2
152;2
153;2
156;2
158;2
159;2
161;2
162;2
163;2
164;2
165;2
174;2
176;2
177;2
184;2
186;2
187;2
188;2
192;2
193;2
197;2
198;2
205;2
208;2
212;2
213;2
216;2
218;2
219;2
220;2
221;2
222;2
225;2
227;2
231;2
233;2
234;2
235;2
236;2
238;2
241;2
244;2
245;2
249;2
251;2
255;2
256;2
257;2
258;2
259;2
264;2
268;2
271;2
276;2
281;2
282;2
285;2
287;2
292;2
293;2
294;2
295;2
296;2
301;2
302;2
303;2
304;2
309;2
310;2
311;2
314;2
316;2
319;2
320;2
321;2
322;2
326;2
330;2
331;2
332;2
333;2
336;2
338;2
341;2
344;2
348;2
350;2
353;2
354;2
360;2
361;2
362;2
363;2
368;2
371;2
374;2
376;2
377;2
381;2
382;2
383;2
385;2
386;2
390;2
392;2
394;2
395;2
396;2
402;2
406;2
