"id";"description";"image_path";"release_date";"title";"tmdb_id"
16;"An assassin named Tae-goo is offered a chance to switch sides with his rival Bukseong gang, headed by Chairman Doh. Tae-goo rejects the offer that results in the murder of his sister and niece. In revenge, Tae-goo brutally kills Chairman Doh and his men and flees to Jeju Island where he meets Jae-yeon, a terminally ill woman. Though, the henchman of the Bukseong gang, Executive Ma is mercilessly hunting Tae-goo to take revenge.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/dYCWUAidqgakGETwZkfGxU7CWhL.jpg";"2020-09-03 00:00:00.000000";"Night in Paradise";606523
17;"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg";"2020-01-15 00:00:00.000000";"Bad Boys for Life";38700
18;"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/zeD4PabP6099gpE0STWJrJrCBCs.jpg";"2020-09-03 00:00:00.000000";"Honest Thief";553604
19;"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/zGVbrulkupqpbwgiNedkJPyQum4.jpg";"2019-12-20 00:00:00.000000";"My Hero Academia: Heroes Rising";592350
20;"Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg";"2020-09-02 00:00:00.000000";"After We Collided";613504
21;"Portrays the life of Héctor Abad Gómez, a prominent doctor and human rights activist in the polarized, violent Medellin of the 70s. A family man worried not only for his own children but those of the underprivileged classes as well, his home was imbued with vitality and creativity, the result of an education based on tolerance and love. Nothing could foretell that a terrible cancer would take the life of one of his beloved daughters. Driven by sadness and rage, Héctor devoted himself to the social and political causes of the time. But Medellin's intolerant society would harass him until he was finally silenced.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cKCVRr3Hvy4MoV2R0tvS31C9wql.jpg";"2020-08-22 00:00:00.000000";"Forgotten We’ll Be";660943
22;"Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/wlfDxbGEsW58vGhFljKkcR5IxDj.jpg";"2020-04-24 00:00:00.000000";"Extraction";545609
23;"In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina. How they robbed the Rio bank is as surprising as what happened afterwards. This is their story.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/aSGwXbaTMxUhrfXT6xyZKqoklfB.jpg";"2020-01-16 00:00:00.000000";"The Heist of the Century";609242
24;"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/k68nPLbIST6NP96JmTxmZijEvCA.jpg";"2020-08-22 00:00:00.000000";"Tenet";577922
25;"David Cuevas is a family man who works as a gangland tax collector for high ranking Los Angeles gang members. He makes collections across the city with his partner Creeper making sure people pay up or will see retaliation. An old threat returns to Los Angeles that puts everything David loves in harm’s way.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/3eg0kGC2Xh0vhydJHO37Sp4cmMt.jpg";"2020-08-07 00:00:00.000000";"The Tax Collector";531499
26;"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg";"2019-10-02 00:00:00.000000";"Joker";475557
27;"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8WUVHemHFH2ZIP6NWkwlHWsyrEL.jpg";"2020-03-05 00:00:00.000000";"Bloodshot";338762
28;"To celebrate their graduation, the teenagers from Valley Hills High School have organized an ’80s-themed party at the old Wet Valley water park. Things turn gruesome when it's revealed that a mysterious maniac has inserted giant razor blades into one of the water slides. The water park thus becomes the backdrop for a bloodbath (literally), and everyone is a suspect...";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/wB8qqLIaYDkYEnjbS5hAJiTuYU6.jpg";"2019-07-29 00:00:00.000000";"Aquaslash";607383
29;"Noreno, a half-Roman, is entrusted with the mission of crossing the snowy mountains of Armenia, swarming with Parthian patrols, to seek help for his slowly dying men.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/6ssoBXQOxNhrsGJoM6Tcvm57V79.jpg";"2020-05-08 00:00:00.000000";"The Legion";631939
30;"Lukas, a young farmer whose family is killed by savage raiders in the countryside, sets out on an epic quest for revenge, forming an unlikely trio with a majestic dragon and a swashbuckling, sword-fighting mercenary, Darius.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qs6gz6atyQcAvqC6qZaslOjliUG.jpg";"2020-02-04 00:00:00.000000";"Dragonheart: Vengeance";666750
31;"When a billionaire gives a group of young scientists unlimited resources to study the science of matter transfer, the scientists unlock the secrets of time travel. But they soon find out that the project is backed by a militant extremist group, and the billionaire plans to go back in time and prove that Jesus never rose from the dead.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8jDvtdH327I8TgX3UPdkAsZF1dA.jpg";"2020-01-24 00:00:00.000000";"Assassin 33 A.D.";582306
32;"Freddy Lupin, heir to a proud family line of werewolves, is in for a shock when on his 14th birthday his first 'warfing' goes awry, turning him into a ferocious poodle. The pack elders give Freddy until the next moonrise to prove he has the heart of a wolf, or risk being cast out forever. With the help of an unlikely ally in a streetwise stray named Batty, Freddy must prove he's 100% Wolf.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/2VrvxK4yxNCU6KVgo5TADJeBEQu.jpg";"2020-06-26 00:00:00.000000";"100% Wolf";520946
33;"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/jlJ8nDhMhCYJuzOw3f52CP1W8MW.jpg";"2020-08-14 00:00:00.000000";"The SpongeBob Movie: Sponge on the Run";400160
34;"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg";"2019-12-04 00:00:00.000000";"Jumanji: The Next Level";512200
35;"A former Marine turned doorman at a luxury New York City high-rise must outsmart and battle a group of art thieves and their ruthless leader — while struggling to protect her sister's family. As the thieves become increasingly desperate and violent, the doorman calls upon her deadly fighting skills to end the showdown.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pklyUbh4k1DbHdnsOMASyw7C6NH.jpg";"2020-10-01 00:00:00.000000";"The Doorman";737568
36;"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/66GUmWpTHgAjyp4aBSXy63PZTiC.jpg";"2021-01-29 00:00:00.000000";"Nomadland";581734
37;"Jack, a man desperate to improve his life throws away his beloved childhood plush, Benny. It’s a move that has disastrous consequences when Benny springs to life with deadly intentions!";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/mQ8vALvqA0z0qglG3gI6xpVcslo.jpg";"2021-05-07 00:00:00.000000";"Benny Loves You";647302
38;"A British Army doctor comes back from a war, thinking that she has PTSD only to discover that there is a more daunting malevolence at work making the life that she knew unfamiliar.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/g7Bxg2j7nbCpKo7U0j1jwU79XPY.jpg";"2020-08-21 00:00:00.000000";"The Unfamiliar";675490
39;"In Lincoln City, some inhabitants have extraordinary abilities. Most live below the poverty line, under the close surveillance of a heavily militarized police force. Connor, a construction worker with powers, involves with a criminal gang to help his ailing mother. (Based on the short film “Code 8,” 2016.)";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/izGX7npHEopDQvngYcxMJEfcFbj.jpg";"2019-12-06 00:00:00.000000";"Code 8";461130
40;"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg";"2019-10-23 00:00:00.000000";"Terminator: Dark Fate";290859
41;"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/1S21HpcKY6uQ9UAw68aICmrJaq6.jpg";"2020-12-25 00:00:00.000000";"We Can Be Heroes";615677
42;"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/b1C0FuXp4wiPmHLVKq4kwtDMgK6.jpg";"2020-10-25 00:00:00.000000";"Roald Dahl's The Witches";531219
43;"Five strangers wake up locked in a strange building. They don't know who took them there or for what purpose. Throughout a night they will discover with surprise that an invasion is taking place outside that complex. And this motley group of strangers, for a reason they will have to figure out, are the ones chosen to try to stop it.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ppqef9A3tg3PJiIA82gTiA7n9Fi.jpg";"2020-05-07 00:00:00.000000";"Devoto, la invasión silenciosa";700995
44;"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/n9OzZmPMnVrV0cMQ7amX0DtBkQH.jpg";"2020-09-10 00:00:00.000000";"Alone";509635
45;"A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/23S0NEXXOMhhXhF566Pw5sx7hnZ.jpg";"2020-04-17 00:00:00.000000";"Earth and Blood";659067
46;"The film centers on the love relationship among the band's bassist Haruki Nakayama, drummer Akihiko Kaji, and Akihiko's roommate and ex-boyfriend Ugetsu Murata.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xKCtoYHUyX8zAg68eemnYa2orep.jpg";"2020-08-22 00:00:00.000000";"Given";632632
